iter	Logloss
0	0.6863338731
1	0.6813219677
2	0.6769682277
3	0.672976147
4	0.6686149077
5	0.6643081145
6	0.661921111
7	0.6563565514
8	0.6516545036
9	0.6490412625
10	0.6439353336
11	0.6401700107
12	0.637840401
13	0.633034446
14	0.6266863996
15	0.6207463525
16	0.6161606962
17	0.6106426933
18	0.6084936315
19	0.6030064063
20	0.5979713527
21	0.5947351456
22	0.5919212861
23	0.5893275521
24	0.5841675672
25	0.5808617418
26	0.576304349
27	0.5715225827
28	0.5682353973
29	0.5650919134
30	0.5614877614
31	0.5583072142
32	0.5562121651
33	0.5533588583
34	0.551017241
35	0.5474571748
36	0.5452500257
37	0.5396062678
38	0.5361508456
39	0.5338292555
40	0.529045105
41	0.5277969187
42	0.5256599079
43	0.5218231895
44	0.5183469599
45	0.516197378
46	0.5132807818
47	0.511016629
48	0.5081917156
49	0.50614383
50	0.5039691925
51	0.500140667
52	0.4986357255
53	0.4967113842
54	0.4928677299
55	0.4909179861
56	0.4879490245
57	0.4854582873
58	0.4833413471
59	0.4786383022
60	0.4750353206
61	0.4720780633
62	0.4703409455
63	0.4675533988
64	0.4654928988
65	0.4621721181
66	0.4599348849
67	0.4569485838
68	0.4540110501
69	0.4507721554
70	0.448846687
71	0.4462293278
72	0.4434641058
73	0.4404700886
74	0.4390739094
75	0.4368429184
76	0.4340988506
77	0.4320622357
78	0.4294167432
79	0.4266242114
80	0.4226892645
81	0.421184193
82	0.4181376804
83	0.4141379703
84	0.4102568626
85	0.4071139422
86	0.4046598781
87	0.4023413225
88	0.3999994451
89	0.3987425891
90	0.395358996
91	0.3912215666
92	0.3878966245
93	0.3855388815
94	0.3824637153
95	0.380647746
96	0.3790439259
97	0.3765329448
98	0.3723730607
99	0.3698467341
