iter	Passed	Remaining
0	1	195
1	3	167
2	4	160
3	6	153
4	7	147
5	9	144
6	10	140
7	11	136
8	13	132
9	14	128
10	15	125
11	16	122
12	17	119
13	19	116
14	20	114
15	21	112
16	22	110
17	23	108
18	24	106
19	26	104
20	27	102
21	28	100
22	29	98
23	30	97
24	32	96
25	33	96
26	35	94
27	36	93
28	37	91
29	38	89
30	39	88
31	41	87
32	44	89
33	45	87
34	46	86
35	47	85
36	49	83
37	50	82
38	52	81
39	53	80
40	54	78
41	56	77
42	57	76
43	58	74
44	60	73
45	61	71
46	62	70
47	63	69
48	64	67
49	66	66
50	67	65
51	69	63
52	70	62
53	72	61
54	73	60
55	74	58
56	75	57
57	77	56
58	78	54
59	79	53
60	81	52
61	82	50
62	84	49
63	85	47
64	86	46
65	88	45
66	89	43
67	90	42
68	92	41
69	93	40
70	94	38
71	96	37
72	97	36
73	98	34
74	100	33
75	101	32
76	102	30
77	103	29
78	105	27
79	106	26
80	107	25
81	108	23
82	110	22
83	111	21
84	112	19
85	114	18
86	115	17
87	117	15
88	118	14
89	119	13
90	121	11
91	122	10
92	124	9
93	125	8
94	127	6
95	128	5
96	129	4
97	131	2
98	132	1
99	133	0
